interval_half_width,channel_asymmetry,score_gradient_angle,clean_gradient_cosine_mean,cosine_gain_over_best_nonoracle_mean,false_positive_direction_rate,abstention_rate,worst_case_alignment_margin_mean,identified_set_diameter_mean,point_direction_difference_max
0.2,0.0,60.0,0.9722898906543662,-0.027710109345633983,0.0,0.0,0.7264896956512807,0.6997142273814362,0.2393705910104284
0.2,0.0,90.0,1.0,-8.881784197001253e-17,0.0,0.0,0.8849686618841822,0.8916670507945152,2.237726045655905e-16
0.2,0.08,0.0,1.0,-8.881784197001253e-17,0.0,0.0,0.6922478824977609,0.9600000000000002,2.220446049250313e-16
0.2,0.08,30.0,0.9954844631435428,-0.004071798772799395,0.0,0.0,0.7264110409243719,0.8916670507945152,0.12671043112478966
0.2,0.08,60.0,0.990332314579781,-0.00837962575756146,0.0,0.0,0.8162142293504902,0.6997142273814363,0.19229207348086702
0.2,0.08,90.0,1.0,0.0014869137890721306,0.0,0.0,0.927395068755375,0.8916670507945152,0.05517036395071534
0.2,0.16,0.0,1.0,-8.881784197001253e-17,0.0,0.0,0.852247882497761,0.9600000000000002,1.1443916996305594e-16
0.2,0.16,30.0,0.9992116068288937,0.000612073986113626,0.0,0.0,0.8683742958489686,0.8916670507945152,0.09367393218453476
0.2,0.16,60.0,0.9980719008060761,0.002376745478354492,0.0,0.0,0.9120445986666075,0.6997142273814362,0.15654852255806403
0.2,0.16,90.0,1.0,0.00546364018416221,0.0,0.0,0.969821475626568,0.8916670507945152,0.10570124082326579
0.2,0.24,0.0,1.0,-4.4408920985006264e-17,0.0,0.0,1.0122478824977608,0.9600000000000002,1.1443916996305594e-16
0.2,0.24,30.0,1.0,0.0025480295077331184,0.0,0.0,1.0122478824977608,0.8916670507945152,0.07199377522766924
0.2,0.24,60.0,1.0,0.008196875310517137,0.0,0.0,1.0122478824977608,0.6997142273814361,0.1292226818390273
0.2,0.24,90.0,1.0,0.011294487558753553,0.0,0.0,1.0122478824977608,0.8916670507945152,0.1518980384903993
