context_count,audit_size,channel_interval_half_width,channel_heterogeneity,score_gradient_noncollinearity_angle,false_certified_sign_rate,harmful_sample_update_rate,clean_gradient_cosine,certified_mass,cosine_gain_over_best_nonoracle,cosine_gain_over_H001,harmful_rate_reduction_over_best_nonoracle,harmful_rate_reduction_over_H001,point_limit_direction_difference,valid_coverage
2,256,0.05,0.0,90,0.0,0.0,0.9997456452556758,0.6666666666666666,-0.00025435474432415893,-0.0001803738713180403,0.0,0.0,0.01675415953722527,True
2,256,0.05,0.15,0,0.0,0.0,0.9999831829691083,0.6666666666666666,-1.5232228552441996e-05,-1.4920212083469054e-05,0.0,0.0,0.009805670652470753,True
2,256,0.05,0.15,45,0.0,0.0,0.9999585501076144,0.6666666666666666,-1.8204340579819345e-05,-1.8204340579819345e-05,0.0,0.0,0.008224369964098624,True
2,256,0.05,0.15,90,0.0,0.0,0.9998049645656726,0.6666666666666666,-0.00017189813137001851,-0.0001222919055392513,0.0,0.0,0.015724987973304645,True
2,256,0.05,0.3,0,0.0,0.0,0.9999317798105718,0.6666666666666666,-5.9141614869662186e-05,-5.9017797360705336e-05,0.0,0.0,0.012645020378939104,True
2,256,0.05,0.3,45,0.0,0.0,0.999784432849108,0.6666666666666666,-0.00018270285121786413,-0.00018210178900714968,0.0,0.0,0.019497967413824823,True
2,256,0.05,0.3,90,0.0,0.0,0.9998654787339423,0.6666666666666666,-0.0001147620832202545,-7.452349369676536e-05,0.0,0.0,0.014524618063714693,True
2,256,0.1,0.0,0,0.0,0.0,0.9996586164376285,0.6666666666666666,-0.000341383562371389,-0.00032664963961157587,0.0,0.0,0.03149741480610681,True
2,256,0.1,0.0,45,0.0,0.0,0.999533829374489,0.6666666666666666,-0.00046617062551101984,-0.0004425416861122411,0.0,0.0,0.03511421703040497,True
2,256,0.1,0.0,90,0.0,0.0,0.9985269651015345,0.6666666666666666,-0.0014730348984653974,-0.001382507848557868,0.0,0.0,0.06388753236293206,True
2,256,0.1,0.15,0,0.0,0.0,0.9986215642119973,0.6666666666666666,-0.0013599656356224842,-0.0013586984359301724,0.0,0.0,0.07515320274891911,True
2,256,0.1,0.15,45,0.0,0.0,0.9979065151412463,0.6666666666666666,-0.0020119702098025495,-0.0020119702098025495,0.0,0.0,0.08302042949740289,True
2,256,0.1,0.15,90,0.0,0.0,0.9985654163175749,0.6666666666666666,-0.001318178546340376,-0.001201777441483931,0.0,0.0,0.055847990610844896,True
2,256,0.1,0.3,0,0.0,0.0,0.9997875601560067,0.6666666666666666,-0.00019958848231642622,-0.00019869671479189055,0.0,0.0,0.0291016656953034,True
2,256,0.1,0.3,45,0.0,0.0,0.9973201068572843,0.6666666666666666,-0.002521400693852227,-0.002425072776752679,0.0,0.0,0.06674981292668541,True
2,256,0.1,0.3,90,0.0,0.0,0.9989863304969522,0.6666666666666666,-0.0009219165714692501,-0.0009146666878438791,0.0,0.0,0.05129465560755565,True
2,256,0.2,0.0,0,0.0,0.0,0.7994080558987807,0.19999999999999998,-0.20059194410121917,-0.20058307169540496,0.0,0.0,1.0000000000000002,True
2,256,0.2,0.0,45,0.0,0.0,0.5735517178588448,0.13333333333333333,-0.42644828214115515,-0.4263802910621092,0.0,0.0,1.0000000000000002,True
2,256,0.2,0.0,90,0.0,0.0,0.875280171164694,0.19999999999999998,-0.12471982883530593,-0.12435269171903793,0.0,0.0,0.5946037699284697,True
2,256,0.2,0.15,0,0.0,0.0,0.6132716796506658,0.3333333333333333,-0.3866897429048829,-0.3866802636337333,0.0,0.0,1.9643084610824217,True
2,256,0.2,0.15,45,0.0,0.0,0.9837896613700134,0.3333333333333333,-0.016001922444478976,-0.016001922444478976,0.0,0.0,0.19519966393060803,True
2,256,0.2,0.15,90,0.0,0.0,0.996253431383316,0.3333333333333333,-0.003680104220705749,-0.003565645563084341,0.0,0.0,0.10336896524396975,True
2,256,0.2,0.3,0,0.0,0.0,0.9998557356464314,0.3333333333333333,-0.00011685098267260053,-1.4581315711326148e-05,0.0,0.0,0.013071303922973272,True
